id,name,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,room_type,accommodates,beds,price,minimum_nights
744963365185707800,Rental unit in Circle Pines · 1 bedroom · 1 bed · 1 bath,100,96,TRUE,8,Entire home/apt,2,1,150,3
851979914197306e3,Home in Saint Paul · ★4.90 · 4 bedrooms · 4 beds · 2 baths,100,94,TRUE,1,Entire home/apt,8,4,224,1
23036492,Home in Minneapolis · 1 bedroom · 4 beds · 2.5 baths,NA,NA,FALSE,1,Entire home/apt,8,4,1000,1
1008644390943659300,Home in Cottage Grove · ★5.0 · 1 bedroom · 1 bed · Private half-bath,100,100,FALSE,2,Private room,2,1,43,1
949511965365861500,Home in Golden Valley · ★5.0 · 4 bedrooms · 4 beds · 3 baths,100,100,FALSE,1,Entire home/apt,10,4,194,3
12185517,Home in Saint Paul · 1 bedroom · 3 beds · 1 bath,NA,NA,FALSE,2,Private room,3,3,60,2
32137730,Rental unit in Minneapolis · ★4.72 · 2 bedrooms · 2 beds · 2 baths,100,97,FALSE,3,Entire home/apt,4,2,112,2
742943724261989800,Townhouse in Saint Anthony · ★4.91 · 2 bedrooms · 2 beds · 1 bath,100,99,TRUE,3,Entire home/apt,6,2,88,1
32240512,Home in Minneapolis · ★4.94 · 3 bedrooms · 3 beds · 2 baths,100,100,TRUE,1,Entire home/apt,6,3,186,3
625191546476811300,Home in Minneapolis · 1 bedroom · 1 bed · 1 shared bath,NA,0,FALSE,2,Private room,1,1,64,1
1043740363366246400,Home in Chisago City · ★New · 3 bedrooms · 5 beds · 2 baths,100,100,FALSE,2,Entire home/apt,8,5,439,2
40893727,Home in Minneapolis · ★4.92 · 1 bedroom · 3 beds · 1 bath,100,81,FALSE,13,Entire home/apt,4,3,93,1
1027448679829941600,Rental unit in Saint Paul · ★5.0 · 2 bedrooms · 2 beds · 1 bath,100,100,FALSE,1,Entire home/apt,4,2,114,1
595452067097820500,Vacation home in Becker · 1 bedroom · 1 bed · 1 bath,100,100,FALSE,2,Entire home/apt,4,1,150,1
21837838,Home in Minneapolis · 3 bedrooms · 4 beds · 2 baths,NA,NA,FALSE,1,Entire home/apt,6,4,950,3
702947468370833900,Home in South Saint Paul · ★4.97 · 2 bedrooms · 2 beds · 1 bath,100,100,TRUE,2,Entire home/apt,4,2,99,5
836927311236243600,Rental unit in Waterville · ★4.94 · 3 bedrooms · 4 beds · 1 bath,100,100,TRUE,1,Entire home/apt,6,4,175,2
831290581037671400,Home in Minneapolis · ★5.0 · 1 bedroom · 1 bed · 1 private bath,100,100,TRUE,1,Private room,2,1,54,1
666746470794926600,Home in Stanchfield · ★4.80 · 5 bedrooms · 11 beds · 2.5 baths,100,100,FALSE,3,Entire home/apt,16,11,695,2
671144894278558800,Townhouse in Brooklyn Center · 1 bedroom · 1 bed · 1.5 baths,NA,0,FALSE,1,Private room,2,1,125,1
54398877,Cottage in Minneapolis · ★4.92 · 2 bedrooms · 2 beds · 1 bath,100,100,FALSE,1,Entire home/apt,4,2,145,2
49098563,Guest suite in Prescott · ★5.0 · Studio · 1 bed · 1 bath,100,100,TRUE,23,Entire home/apt,2,1,116,1
1018948553025555100,Home in Saint Paul · ★New · 5 bedrooms · 5 beds · 2 baths,99,99,FALSE,890,Entire home/apt,11,5,250,2
15008642,Home in South Haven · ★4.90 · 3 bedrooms · 5 beds · 2.5 baths,100,94,TRUE,1,Entire home/apt,9,5,308,2
802255882178826e3,Rental unit in West Saint Paul · 2 bedrooms · 3 beds · 1 bath,100,100,TRUE,2,Entire home/apt,6,3,133,7
49178167,Condo in Minneapolis · ★5.0 · Studio · 1 bed · 1 bath,100,100,TRUE,1,Entire home/apt,2,1,72,30
53903459,Home in Minneapolis · ★4.85 · 3 bedrooms · 3 beds · 1 bath,100,77,FALSE,3,Entire home/apt,8,3,465,30
776023942764844200,Bed and breakfast in Zimmerman · 1 bedroom · 1 bed · 1 shared bath,0,0,FALSE,1,Private room,2,1,78,1
894392038598457300,Home in Minneapolis · 3 bedrooms · 3 beds · 2.5 baths,NA,NA,FALSE,1,Entire home/apt,6,3,340,30
53663427,Vacation home in Fridley · 2 bedrooms · 1.5 baths,NA,NA,FALSE,1,Entire home/apt,4,NA,150,2
52109422,Tent in Onamia · 1 bedroom · 1 bed · 0 shared baths,NA,NA,FALSE,1,Shared room,16,1,69,1
781098516203599500,Rental unit in Minneapolis · 1 bedroom · 1 bed · 1 bath,NA,33,FALSE,1,Entire home/apt,4,1,80,30
21835556,Home in Roseville · 3 bedrooms · 3 beds · 2 baths,NA,NA,FALSE,1,Entire home/apt,6,3,900,3
45541107,Home in Minneapolis · ★4.89 · 2 bedrooms · 2 beds · 1 bath,100,100,TRUE,1,Entire home/apt,6,2,242,2
51578832,Guest suite in Shoreview · ★5.0 · Studio · 2 beds · 1 bath,100,96,TRUE,1,Entire home/apt,4,2,115,3
8234238,Home in Excelsior · ★4.70 · 1 bedroom · 1 bed · 1.5 shared baths,0,NA,FALSE,2,Private room,2,1,100,2
928200567528794100,Home in Minneapolis · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,100,96,TRUE,1,Private room,2,1,NA,2
986135122407286700,Rental unit in Minneapolis · ★4.83 · 2 bedrooms · 2 beds · 1 bath,100,90,FALSE,1,Entire home/apt,3,2,144,2
27434515,Rental unit in Minneapolis · ★4.83 · 1 bedroom · 1 bed · 1 bath,100,95,TRUE,6,Entire home/apt,2,1,195,30
924283670179422800,Home in Minneapolis · ★4.91 · 1 bedroom · 1 bed · 1 bath,100,99,TRUE,21,Private room,2,1,37,1
21353502,Rental unit in Saint Paul · ★4.81 · 1 bedroom · 1 bed · 1 bath,100,95,TRUE,5,Entire home/apt,2,1,90,2
910706002690598100,Rental unit in Minneapolis · Studio · 1 bed · 1 bath,100,97,TRUE,12,Entire home/apt,2,1,69,30
918720985841935900,Rental unit in Minneapolis · Studio · 1 bed · 1 bath,100,97,TRUE,12,Entire home/apt,2,1,97,2
875377511003491500,Rental unit in Saint Paul · ★4.67 · 2 bedrooms · 2 beds · 1 bath,100,55,FALSE,1,Entire home/apt,4,2,104,5
37617127,Home in Minneapolis · ★4.91 · 2 bedrooms · 2 beds · 1 bath,NA,94,TRUE,3,Entire home/apt,4,2,159,2
31357392,Home in Minneapolis · ★4.88 · 4 bedrooms · 4 beds · 1 bath,100,100,TRUE,1,Entire home/apt,10,4,182,2
1022361329821568100,Home in Harris · ★New · 5 bedrooms · 7 beds · 3 baths,100,99,TRUE,2,Entire home/apt,14,7,195,2
899984097882945200,Home in Minneapolis · ★4.94 · 3 bedrooms · 5 beds · 2 baths,100,97,TRUE,1,Entire home/apt,8,5,226,2
22435209,Home in Saint Paul · 3 bedrooms · 4 beds · 1 bath,NA,NA,FALSE,1,Entire home/apt,7,4,975,3
41642254,Serviced apartment in Minneapolis · ★4.85 · 2 bedrooms · 3 beds · 2 baths,99,100,TRUE,102,Entire home/apt,6,3,201,1
720576757430895e3,Home in Saint Paul · ★4.75 · 2 bedrooms · 3 beds · 1 private bath,86,67,TRUE,2,Private room,6,3,119,2
31145416,Guest suite in Minneapolis · ★4.87 · 3 bedrooms · 3 beds · 1 bath,100,98,TRUE,14,Entire home/apt,6,3,205,3
951551915110055700,Rental unit in Saint Paul · ★5.0 · 3 bedrooms · 3 beds · 1.5 baths,100,96,TRUE,4,Entire home/apt,6,3,259,1
960125198046634100,Home in Plum City · Studio · 2 beds · 1 bath,100,0,FALSE,1,Entire home/apt,5,2,NA,2
33305027,Home in Saint Paul · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,92,73,TRUE,98,Private room,1,1,33,2
4105383,Rental unit in Minneapolis · ★4.91 · 1 bedroom · 1 bed · 1 bath,100,0,FALSE,1,Entire home/apt,2,1,68,7
51593051,Home in Oak Grove · ★4.78 · 1 bedroom · 1 bed · 2 shared baths,100,80,TRUE,5,Private room,2,1,37,1
1009338281685983700,Home in Apple Valley · ★New · 4 bedrooms · 6 beds · 2 baths,100,NA,FALSE,1,Entire home/apt,10,6,NA,30
587010605540888400,Bungalow in Saint Paul · ★4.96 · 4 bedrooms · 5 beds · 2 baths,100,97,TRUE,1,Entire home/apt,10,5,221,3
939920530927487400,Home in White Bear Lake · ★4.75 · 1 bedroom · 2 beds · 1 bath,100,86,FALSE,1,Entire home/apt,4,2,325,2
899059241214893200,Home in Minneapolis · ★4.92 · 2 bedrooms · 4 beds · 1 bath,100,100,TRUE,3,Entire home/apt,6,4,106,2
22673762,Home in Minneapolis · ★3.67 · 5 bedrooms · 18 beds · 2.5 baths,NA,NA,FALSE,1,Entire home/apt,11,18,899,3
44811352,Home in Farmington · ★4.85 · 1 bedroom · 1 bed · 1 private bath,80,100,TRUE,1,Private room,3,1,29,1
18508840,Home in South Saint Paul · ★4.93 · 1 bedroom · 1 bed · 1 private bath,NA,0,FALSE,1,Private room,2,1,44,1
7.4621565427514406e+17,Home in Minneapolis · 3 bedrooms · 3 beds · 2 baths,100,67,TRUE,1,Entire home/apt,6,3,100,28
22031671,Rental unit in Minneapolis · ★4.90 · 2 bedrooms · 2 beds · 1 bath,NA,90,TRUE,1,Entire home/apt,2,2,132,2
41587649,Rental unit in Hudson · ★4.81 · 2 bedrooms · 2 beds · 1 bath,100,99,TRUE,4,Entire home/apt,6,2,112,2
568338161033545660,Loft in Hager City · 1 bedroom · 3 beds · 1 bath,NA,NA,FALSE,1,Entire home/apt,6,3,NA,1
45376341,Home in Saint Paul · ★4.90 · 5 bedrooms · 7 beds · 2.5 baths,100,99,TRUE,4,Entire home/apt,13,7,306,2
22471543,Bungalow in Minneapolis · ★4.96 · 3 bedrooms · 3 beds · 2 baths,100,100,TRUE,2,Entire home/apt,6,3,126,4
43336433,Cottage in Forest Lake · ★4.94 · 3 bedrooms · 4 beds · 1.5 baths,NA,80,FALSE,1,Entire home/apt,8,4,400,3
1028600781544284700,Bed and breakfast in Saint Paul · ★New · 1 bedroom · 3 beds · 3 baths,90,45,FALSE,2,Private room,6,3,69,1
33017202,Bed and breakfast in Stillwater · ★4.98 · 1 bedroom · 1 bed · 1 private bath,100,100,TRUE,5,Hotel room,2,1,187,1
669610808591914500,Camper/RV in Elk River · 0 baths,100,100,TRUE,2,Entire home/apt,4,NA,NA,1
20250219,Home in Saint Paul · ★4.98 · 1 bedroom · 1 bed · 1 shared bath,100,82,TRUE,1,Private room,1,1,40,1
15335892,Townhouse in Shoreview · ★4.95 · 1 bedroom · 2 beds · 1 bath,NA,97,TRUE,3,Entire home/apt,4,2,NA,2
965181535291260800,Home in Minneapolis · ★5.0 · 3 bedrooms · 4 beds · 1.5 baths,100,100,FALSE,1,Entire home/apt,7,4,169,2
45068820,Home in Saint Paul · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,100,28,FALSE,5,Private room,2,1,40,2
8612672,Rental unit in Stillwater · Studio · 1 bed · 1 bath,NA,NA,FALSE,1,Private room,2,1,28,365
895195572206403300,Home in Minnetonka · ★5.0 · 3 bedrooms · 4 beds · 2 baths,97,99,FALSE,7,Entire home/apt,8,4,577,3
699820709978814700,Home in Minneapolis · 1 bedroom · 1 bed · 1 bath,50,0,FALSE,1,Entire home/apt,2,1,66,30
21745914,Home in Saint Paul · ★4.98 · 1 bedroom · 1 bed · 1 bath,100,98,TRUE,7,Entire home/apt,2,1,120,3
858829281053716500,Cottage in Minneapolis · ★4.97 · 1 bedroom · 1 bed · 1 bath,100,100,TRUE,1,Entire home/apt,2,1,131,1
876285770695245200,Home in Minneapolis · ★5.0 · 2 bedrooms · 3 beds · 1 bath,100,92,FALSE,1,Entire home/apt,5,3,125,1
736366032248230900,Home in Minneapolis · ★4.92 · 1 bedroom · 1 bed · 2 shared baths,100,100,TRUE,11,Private room,1,1,80,1
21551503,Home in Hopkins · ★4.86 · 3 bedrooms · 3 beds · 2 baths,100,100,TRUE,2,Entire home/apt,5,3,150,30
979776437037024400,Home in Minneapolis · 1 bedroom · 1 bed · 3 baths,80,50,FALSE,2,Private room,2,1,75,2
720892254161647600,Condo in Eden Prairie · ★3.75 · 2 bedrooms · 2 beds · 1 bath,99,99,FALSE,890,Entire home/apt,4,2,121,2
1031488827796551e3,Home in Saint Paul · ★New · 3 bedrooms · 3 beds · 3 baths,100,93,FALSE,8,Private room,3,3,63,1
855985438492319100,Home in Wyoming · ★4.94 · 2 bedrooms · 2 beds · 1 bath,100,100,FALSE,1,Entire home/apt,6,2,111,2
904429119310099100,Rental unit in Buffalo · ★5.0 · 3 bedrooms · 3 beds · 1 bath,100,98,TRUE,4,Entire home/apt,6,3,229,2
776082870368647200,Home in Richfield · ★New · 4 bedrooms · 1 bed · 2 baths,NA,NA,FALSE,1,Private room,4,1,86,1
21892887,Home in Minneapolis · 2 bedrooms · 3 beds · 2.5 baths,NA,NA,FALSE,1,Entire home/apt,8,3,875,5
21752857,Home in Elko New Market · 2 bedrooms · 2 beds · 1 private bath,NA,NA,FALSE,1,Private room,3,2,200,3
833526604897136300,Rental unit in Minneapolis · 2 bedrooms · 2 beds · 1 bath,100,100,FALSE,4,Entire home/apt,4,2,103,2
638482495254399500,Rental unit in Saint Paul · ★5.0 · 2 bedrooms · 2 beds · 1 bath,100,86,FALSE,2,Entire home/apt,4,2,104,1
550722797884353200,Rental unit in Saint Paul · 1 bedroom · 1 bed · 1 bath,100,95,TRUE,12,Entire home/apt,2,1,125,30
47150212,Home in Apple Valley · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,100,95,TRUE,2,Private room,1,1,62,28
17728825,Home in Minneapolis · ★4.91 · 1 bedroom · 1 bed · 1 bath,100,100,TRUE,1,Entire home/apt,6,1,142,1
13109781,Camper/RV in Lakeville · ★4.75 · 2 beds · Half-bath,NA,0,FALSE,3,Entire home/apt,3,2,85,1
559220054824347800,Home in Saint Bonifacius · 2 bedrooms · 4 beds · 2 baths,100,75,FALSE,1,Entire home/apt,8,4,225,4
31023372,Rental unit in Minneapolis · ★4.94 · 3 bedrooms · 3 beds · 1 bath,100,100,TRUE,1,Entire home/apt,6,3,180,2
796989371955372500,Home in Maple Grove · 3 bedrooms · 2 beds · 2 baths,67,67,FALSE,2,Entire home/apt,6,2,100,30
46547444,Home in Saint Paul · 4 bedrooms · 4 beds · 1.5 baths,80,56,FALSE,4,Entire home/apt,6,4,80,90
22908458,Home in Saint Paul · 1 bedroom · 1 bed · 1 private bath,NA,NA,FALSE,1,Private room,4,1,1000,1
15719921,Rental unit in Minneapolis · ★4.97 · 1 bedroom · 2 beds · 1 bath,100,98,TRUE,2,Entire home/apt,4,2,90,7
20154301,Home in Minneapolis · ★4.93 · 1 bedroom · 1 bed · 2.5 baths,100,73,FALSE,1,Private room,2,1,85,2
771024576837496700,Home in Hudson · ★5.0 · 2 bedrooms · 2 beds · 2 baths,NA,100,FALSE,1,Entire home/apt,6,2,525,2
53622391,Home in Minneapolis · ★4.89 · 1 bedroom · 1 bed · 1 bath,100,97,TRUE,1,Entire home/apt,2,1,120,2
671092373361102600,Home in Saint Paul · 5 bedrooms · 9 beds · 2.5 baths,NA,75,FALSE,1,Entire home/apt,9,9,200,2
35113423,Guest suite in Scandia · ★4.88 · 3 bedrooms · 4 beds · 1 bath,NA,90,TRUE,1,Entire home/apt,6,4,120,2
975879808229052700,Home in Minneapolis · ★4.75 · 5 bedrooms · 5 beds · 3.5 baths,100,78,FALSE,10,Entire home/apt,16,5,599,1
49854931,Home in Shakopee · ★4.67 · 5 bedrooms · 5 beds · 3.5 baths,NA,79,FALSE,1,Entire home/apt,9,5,350,1
850857888325275400,Hostel in Saint Paul · ★4.83 · 1 bedroom · 3 beds · 3 baths,100,93,FALSE,8,Private room,6,3,69,1
30948927,Home in Jordan · ★4.75 · 1 bedroom · 1 bed · 1.5 shared baths,100,100,FALSE,1,Private room,2,1,55,1
36804270,Guest suite in Burnsville · ★5.0 · 1 bedroom · 1 bed · 1 private bath,100,85,FALSE,10,Private room,2,1,150,1
41486444,Rental unit in Minneapolis · ★4.89 · 2 bedrooms · 4 beds · 1 bath,100,97,TRUE,2,Entire home/apt,6,4,140,1
25810374,Villa in Minneapolis · ★4.91 · 6 bedrooms · 8 beds · 4.5 baths,100,98,FALSE,1,Entire home/apt,16,8,560,2
53056314,Rental unit in Stillwater · 2 bedrooms · 2 beds · 2 baths,NA,NA,FALSE,1,Entire home/apt,5,2,149,28
22865431,Rental unit in Minneapolis · ★4.96 · 3 bedrooms · 3 beds · 1 bath,100,100,TRUE,1,Entire home/apt,5,3,65,2
966805821073033100,Home in Savage · 1 bedroom · 1 bed · 2 shared baths,100,97,TRUE,3,Private room,2,1,84,3
1014933290171336700,Hotel in Minneapolis · ★New · 1 bedroom · 2 beds · 1 bath,100,99,FALSE,3145,Private room,4,2,265,1
38744609,Bed and breakfast in Minneapolis · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,96,98,TRUE,4,Private room,1,1,50,1
35810037,Home in Minneapolis · ★4.81 · 2 bedrooms · 2 beds · 1 bath,100,90,TRUE,11,Entire home/apt,5,2,155,30
43223196,Home in Minneapolis · ★5.0 · 1 bedroom · 1 bed · 3 shared baths,92,73,TRUE,98,Private room,2,1,37,2
799367343781395600,Home in Saint Paul · ★5.0 · 5 bedrooms · 6 beds · 3 baths,100,96,TRUE,9,Entire home/apt,12,6,276,3
48535650,Home in Annandale · ★4.75 · 4 bedrooms · 7 beds · 3.5 baths,100,100,FALSE,9,Entire home/apt,14,7,383,2
22655014,Home in Elk River · ★4.96 · 1 bedroom · 3 beds · 1 private bath,100,100,TRUE,1,Private room,5,3,64,2
934258782893540100,Rental unit in Minneapolis · 2 bedrooms · 2 beds · 1 bath,100,72,NA,25,Entire home/apt,4,2,58,30
40680249,Home in Wayzata · ★4.88 · 3 bedrooms · 3 beds · 2 baths,100,92,TRUE,1,Entire home/apt,7,3,313,3
645622894056259600,Condo in Minneapolis · ★4.92 · 1 bedroom · 1 bed · 1 bath,100,99,TRUE,1,Entire home/apt,4,1,72,1
20651429,Rental unit in Minneapolis · ★4.90 · 1 bedroom · 2 beds · 1 bath,100,98,TRUE,2,Entire home/apt,2,2,98,1
50524598,Rental unit in St. Louis Park · ★4.60 · 1 bedroom · 3 beds · 1 bath,90,100,TRUE,1,Entire home/apt,5,3,50,2
19478645,Cottage in Minnetonka · ★4.93 · 3 bedrooms · 3 beds · 2.5 baths,NA,86,FALSE,1,Entire home/apt,8,3,420,2
22867463,Home in Minneapolis · 3 bedrooms · 3 beds · 1 shared bath,NA,NA,FALSE,1,Private room,5,3,NA,2
518796593761025300,Serviced apartment in Champlin · ★4.81 · 2 bedrooms · 2 beds · 2 baths,100,99,TRUE,2,Entire home/apt,4,2,185,3
33314154,Home in Minneapolis · ★5.0 · 3 bedrooms · 3 beds · 2 baths,NA,50,FALSE,1,Entire home/apt,6,3,206,2
52594241,Home in Minneapolis · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,100,94,FALSE,1,Private room,1,1,56,1
50105071,Rental unit in Minneapolis · 2 bedrooms · 2 beds · 1 private bath,100,97,FALSE,7,Private room,4,2,129,30
33473088,Home in Minneapolis · ★5.0 · 2 bedrooms · 2 beds · 1 bath,100,100,FALSE,1,Entire home/apt,4,2,180,1
846260304517581300,Home in Minneapolis · ★4.89 · 2 bedrooms · 3 beds · 1 bath,100,98,TRUE,1,Entire home/apt,6,3,130,1
45567221,Rental unit in Saint Paul · ★5.0 · 1 bedroom · 1 bed · 1 bath,100,95,TRUE,12,Entire home/apt,2,1,130,30
