Occupation,n_total,med_weeklypay_tot,n_men,med_weeklypay_men,n_women,med_weeklypay_women,occupation_cat,occupation_subcat
Other mathematical science occupations,468,1985,275,2279,193,1844,Professional occupations,Professional and related
"Architects, except landscape and naval",214,2009,151,2367,63,1521,Professional occupations,Architecture and engineering
Landscape architects,17,,10,,7,,Professional occupations,Architecture and engineering
"Surveyors, cartographers, and photogrammetrists",39,,33,,5,,Professional occupations,Architecture and engineering
Aerospace engineers,172,2205,151,2248,22,,Professional occupations,Architecture and engineering
Agricultural engineers,6,,6,,0,,Professional occupations,Architecture and engineering
Bioengineers and biomedical engineers,26,,20,,5,,Professional occupations,Architecture and engineering
Chemical engineers,91,2416,68,2519,23,,Professional occupations,Architecture and engineering
Civil engineers,470,1999,382,2094,87,1706,Professional occupations,Architecture and engineering
Computer hardware engineers,94,2478,75,2295,19,,Professional occupations,Architecture and engineering
Electrical and electronics engineers,278,2226,248,2229,30,,Professional occupations,Architecture and engineering
Environmental engineers,43,,34,,9,,Professional occupations,Architecture and engineering
"Industrial engineers, including health and safety",282,1900,215,2001,67,1613,Professional occupations,Architecture and engineering
Marine engineers and naval architects,13,,10,,2,,Professional occupations,Architecture and engineering
Materials engineers,54,1858,43,,10,,Professional occupations,Architecture and engineering
Mechanical engineers,418,2080,363,2091,55,1915,Professional occupations,Architecture and engineering
"Mining and geological engineers, including mining safety engineers",6,,6,,0,,Professional occupations,Architecture and engineering
Nuclear engineers,7,,5,,2,,Professional occupations,Architecture and engineering
Petroleum engineers,7,,7,,0,,Professional occupations,Architecture and engineering
"Engineers, all other",620,2162,504,2190,116,2079,Professional occupations,Architecture and engineering
Architectural and civil drafters,37,,27,,10,,Professional occupations,Architecture and engineering
Other drafters,74,1229,60,1191,13,,Professional occupations,Architecture and engineering
Electrical and electronic engineering technologists and technicians,79,1572,73,1635,6,,Professional occupations,Architecture and engineering
"Other engineering technologists and technicians, except drafters",369,1262,285,1368,84,1027,Professional occupations,Architecture and engineering
Surveying and mapping technicians,47,,42,,5,,Professional occupations,Architecture and engineering
Agricultural and food scientists,25,,16,,9,,Professional occupations,"Life, physical, and social science"
Biological scientists,97,1568,51,1634,46,,Professional occupations,"Life, physical, and social science"
Conservation scientists and foresters,25,,15,,10,,Professional occupations,"Life, physical, and social science"
Medical scientists,119,1764,46,,73,1875,Professional occupations,"Life, physical, and social science"
"Life scientists, all other",3,,3,,0,,Professional occupations,"Life, physical, and social science"
Astronomers and physicists,24,,12,,12,,Professional occupations,"Life, physical, and social science"
Atmospheric and space scientists,8,,3,,5,,Professional occupations,"Life, physical, and social science"
Chemists and materials scientists,105,2079,76,2309,29,,Professional occupations,"Life, physical, and social science"
"Environmental scientists and specialists, including health",57,1839,32,,26,,Professional occupations,"Life, physical, and social science"
"Geoscientists and hydrologists, except geographers",49,,39,,10,,Professional occupations,"Life, physical, and social science"
"Physical scientists, all other",350,1752,195,1977,156,1566,Professional occupations,"Life, physical, and social science"
Economists,36,,23,,13,,Professional occupations,"Life, physical, and social science"
Survey researchers,0,,0,,0,,Professional occupations,"Life, physical, and social science"
Clinical and counseling psychologists,9,,4,,5,,Professional occupations,"Life, physical, and social science"
School psychologists,32,,11,,21,,Professional occupations,"Life, physical, and social science"
Other psychologists,75,1912,29,,45,,Professional occupations,"Life, physical, and social science"
Sociologists,5,,0,,5,,Professional occupations,"Life, physical, and social science"
Urban and regional planners,39,,14,,25,,Professional occupations,"Life, physical, and social science"
Miscellaneous social scientists and related workers,39,,21,,18,,Professional occupations,"Life, physical, and social science"
Agricultural and food science technicians,50,975,30,,20,,Professional occupations,"Life, physical, and social science"
Biological technicians,32,,13,,19,,Professional occupations,"Life, physical, and social science"
Chemical technicians,65,1126,39,,26,,Professional occupations,"Life, physical, and social science"
Environmental science and geoscience technicians,14,,11,,3,,Professional occupations,"Life, physical, and social science"
Nuclear technicians,0,,0,,0,,Professional occupations,"Life, physical, and social science"
Social science research assistants,7,,3,,4,,Professional occupations,"Life, physical, and social science"
"Other life, physical, and social science technicians",322,1236,135,1440,187,1147,Professional occupations,"Life, physical, and social science"
Occupational health and safety specialists and technicians,65,1173,37,,28,,Professional occupations,"Life, physical, and social science"
,2234,1252,673,1356,1562,1225,Professional occupations,Community and social service
Substance abuse and behavioral disorder counselors,106,1120,28,,78,1155,Professional occupations,Community and social service
"Educational, guidance, and career counselors and advisors",302,1330,63,1160,240,1396,Professional occupations,Community and social service
Marriage and family therapists,18,,2,,16,,Professional occupations,Community and social service
Mental health counselors,117,1371,21,,96,1341,Professional occupations,Community and social service
Rehabilitation counselors,11,,3,,8,,Professional occupations,Community and social service
"Counselors, all other",186,1149,52,1073,135,1155,Professional occupations,Community and social service
"Child, family, and school social workers",67,1426,13,,54,1427,Professional occupations,Community and social service
Healthcare social workers,103,1361,16,,87,1347,Professional occupations,Community and social service
Mental health and substance abuse social workers,30,,8,,22,,Professional occupations,Community and social service
"Social workers, all other",525,1298,85,1536,439,1255,Professional occupations,Community and social service
Probation officers and correctional treatment specialists,69,1296,32,,37,,Professional occupations,Community and social service
Social and human service assistants,182,1071,31,,150,992,Professional occupations,Community and social service
Other community and social service specialists,118,1275,39,,79,1196,Professional occupations,Community and social service
Clergy,283,1367,229,1379,54,1267,Professional occupations,Community and social service
"Directors, religious activities and education",53,1198,20,,33,,Professional occupations,Community and social service
