Occupation,n_total,med_weeklypay_tot,n_men,med_weeklypay_men,n_women,med_weeklypay_women,occupation_cat,occupation_subcat
"Bookkeeping, accounting, and auditing clerks",890,1037,154,1196,736,1011,Sales and office occupations,Office and administrative support
Gambling cage workers,19,,4,,15,,Sales and office occupations,Office and administrative support
Payroll and timekeeping clerks,154,1020,25,,129,978,Sales and office occupations,Office and administrative support
Procurement clerks,41,,16,,25,,Sales and office occupations,Office and administrative support
Tellers,183,827,36,,147,826,Sales and office occupations,Office and administrative support
"Financial clerks, all other",169,1441,104,1629,65,1235,Sales and office occupations,Office and administrative support
Brokerage clerks,0,,0,,0,,Sales and office occupations,Office and administrative support
Correspondence clerks,13,,6,,7,,Sales and office occupations,Office and administrative support
"Court, municipal, and license clerks",55,1002,12,,43,,Sales and office occupations,Office and administrative support
"Credit authorizers, checkers, and clerks",26,,12,,14,,Sales and office occupations,Office and administrative support
Customer service representatives,1928,934,683,1053,1244,903,Sales and office occupations,Office and administrative support
"Eligibility interviewers, government programs",97,1115,25,,72,1124,Sales and office occupations,Office and administrative support
File Clerks,122,953,35,,87,903,Sales and office occupations,Office and administrative support
"Hotel, motel, and resort desk clerks",75,707,16,,60,681,Sales and office occupations,Office and administrative support
"Interviewers, except eligibility and loan",149,827,29,,120,808,Sales and office occupations,Office and administrative support
"Library assistants, clerical",26,,3,,23,,Sales and office occupations,Office and administrative support
Loan interviewers and clerks,78,1016,20,,58,998,Sales and office occupations,Office and administrative support
New accounts clerks,10,,2,,8,,Sales and office occupations,Office and administrative support
Order clerks,64,800,23,,41,,Sales and office occupations,Office and administrative support
"Human resources assistants, except payroll and timekeeping",105,1065,19,,85,1011,Sales and office occupations,Office and administrative support
Receptionists and information clerks,871,820,89,843,782,817,Sales and office occupations,Office and administrative support
Reservation and transportation ticket agents and travel clerks,120,910,74,1127,46,,Sales and office occupations,Office and administrative support
"Information and record clerks, all other",68,1019,13,,54,987,Sales and office occupations,Office and administrative support
Cargo and freight agents,21,,20,,1,,Sales and office occupations,Office and administrative support
Couriers and messengers,537,863,430,871,107,822,Sales and office occupations,Office and administrative support
Public safety telecommunicators,80,1029,23,,58,992,Sales and office occupations,Office and administrative support
"Dispatchers, except police, fire, and ambulance",143,1007,53,1101,90,996,Sales and office occupations,Office and administrative support
"Meter readers, utilities",22,,19,,3,,Sales and office occupations,Office and administrative support
Postal service clerks,102,1097,49,,53,999,Sales and office occupations,Office and administrative support
Postal service mail carriers,330,1254,229,1326,101,1148,Sales and office occupations,Office and administrative support
"Postal service mail sorters, processors, and processing machine operators",41,,15,,26,,Sales and office occupations,Office and administrative support
"Production, planning, and expediting clerks",199,1293,103,1460,96,1124,Sales and office occupations,Office and administrative support
"Shipping, receiving, and inventory clerks",510,882,322,909,188,799,Sales and office occupations,Office and administrative support
"Weighers, measurers, checkers, and samplers, recordkeeping",72,914,34,,38,,Sales and office occupations,Office and administrative support
Executive secretaries and executive administrative assistants,213,1423,13,,200,1374,Sales and office occupations,Office and administrative support
Legal secretaries and administrative assistants,35,,0,,35,,Sales and office occupations,Office and administrative support
Medical secretaries and administrative assistants,88,1011,0,,88,1011,Sales and office occupations,Office and administrative support
"Secretaries and administrative assistants, except legal, medical, and executive",1126,960,99,1298,1027,940,Sales and office occupations,Office and administrative support
Data entry keyers,180,897,53,910,127,884,Sales and office occupations,Office and administrative support
Word processors and typists,48,,7,,40,,Sales and office occupations,Office and administrative support
Desktop publishers,0,,0,,0,,Sales and office occupations,Office and administrative support
Insurance claims and policy processing clerks,255,901,54,1016,202,883,Sales and office occupations,Office and administrative support
"Mail clerks and mail machine operators, except postal service",48,,26,,21,,Sales and office occupations,Office and administrative support
"Office clerks, general",1046,970,205,1186,842,924,Sales and office occupations,Office and administrative support
"Office machine operators, except computer",16,,9,,8,,Sales and office occupations,Office and administrative support
Proofreaders and copy markers,7,,1,,6,,Sales and office occupations,Office and administrative support
Statistical assistants,34,,9,,25,,Sales and office occupations,Office and administrative support
"Office and administrative support workers, all other",741,1080,198,1151,543,1059,Sales and office occupations,Office and administrative support
"Firstline supervisors of farming, fishing, and forestry workers",36,,32,,5,,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry"
Agricultural inspectors,14,,7,,7,,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry"
Animal breeders,5,,4,,1,,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry"
"Graders and sorters, agricultural products",52,717,20,,32,,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry"
Miscellaneous agricultural workers,561,718,433,776,129,633,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry"
Fishing and hunting workers,20,,19,,2,,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry"
Forest and conservation workers,12,,12,,0,,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry"
Logging workers,26,,26,,0,,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry"
Firstline supervisors of construction trades and extraction workers,569,1519,560,1516,9,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Boilermakers,13,,11,,2,,"Natural resources, construction, and maintenance occupations",Construction and extraction
"Brickmasons, blockmasons, and stonemasons",88,1140,88,1140,0,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Carpenters,757,1019,743,1023,14,,"Natural resources, construction, and maintenance occupations",Construction and extraction
"Carpet, floor, and tile installers and finishers",75,989,72,969,3,,"Natural resources, construction, and maintenance occupations",Construction and extraction
"Cement masons, concrete finishers, and terrazzo workers",42,,42,,0,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Construction laborers,1735,939,1659,946,76,887,"Natural resources, construction, and maintenance occupations",Construction and extraction
Construction equipment operators,386,1230,364,1226,21,,"Natural resources, construction, and maintenance occupations",Construction and extraction
"Drywall installers, ceiling tile installers, and tapers",94,812,92,829,3,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Electricians,856,1376,830,1379,26,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Glaziers,31,,31,,0,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Insulation workers,34,,33,,1,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Painters and paperhangers,320,829,297,824,23,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Pipelayers,49,,49,,0,,"Natural resources, construction, and maintenance occupations",Construction and extraction
"Plumbers, pipefitters, and steamfitters",488,1198,471,1209,18,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Plasterers and stucco masons,25,,25,,0,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Reinforcing iron and rebar workers,8,,8,,0,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Roofers,186,910,186,910,0,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Sheet metal workers,125,1154,119,1179,6,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Structural iron and steel workers,36,,36,,0,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Solar photovoltaic installers,23,,19,,4,,"Natural resources, construction, and maintenance occupations",Construction and extraction
"Helpers, construction trades",39,,36,,3,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Construction and building inspectors,89,1256,78,1261,11,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Elevator and escalator installers and repairers,28,,28,,0,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Fence erectors,24,,24,,0,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Hazardous materials removal workers,20,,18,,2,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Highway maintenance workers,52,1116,48,,4,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Railtrack laying and maintenance equipment operators,8,,8,,0,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Septic tank servicers and sewer pipe cleaners,7,,7,,0,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Miscellaneous construction and related workers,21,,21,,0,,"Natural resources, construction, and maintenance occupations",Construction and extraction
"Derrick, rotary drill, and service unit operators, oil and gas",18,,18,,0,,"Natural resources, construction, and maintenance occupations",Construction and extraction
"Excavating and loading machine and dragline operators, surface mining",2,,2,,0,,"Natural resources, construction, and maintenance occupations",Construction and extraction
"Earth drillers, except oil and gas",23,,23,,0,,"Natural resources, construction, and maintenance occupations",Construction and extraction
"Explosives workers, ordnance handling experts, and blasters",12,,10,,2,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Underground mining machine operators,37,,36,,1,,"Natural resources, construction, and maintenance occupations",Construction and extraction
"Roustabouts, oil and gas",9,,9,,0,,"Natural resources, construction, and maintenance occupations",Construction and extraction
Other extraction workers,33,,33,,0,,"Natural resources, construction, and maintenance occupations",Construction and extraction
"Firstline supervisors of mechanics, installers, and repairers",260,1434,245,1455,15,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
"Computer, automated teller, and office machine repairers",117,1059,97,1073,21,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Radio and telecommunications equipment installers and repairers,118,1277,112,1277,6,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Avionics technicians,9,,9,,0,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
"Electric motor, power tool, and related repairers",20,,18,,2,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
"Electrical and electronics installers and repairers, transportation equipment",4,,4,,0,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
"Electrical and electronics repairers, industrial and utility",8,,6,,2,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
"Electronic equipment installers and repairers, motor vehicles",9,,7,,2,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Audiovisual equipment installers and repairers,38,,36,,3,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Security and fire alarm systems installers,44,,44,,0,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Aircraft mechanics and service technicians,142,1485,128,1505,14,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Automotive body and related repairers,105,1123,100,1097,5,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Automotive glass installers and repairers,22,,22,,0,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Automotive service technicians and mechanics,699,1055,688,1061,11,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Bus and truck mechanics and diesel engine specialists,348,1148,340,1147,8,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Heavy vehicle and mobile equipment service technicians and mechanics,146,1276,140,1308,6,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Small engine mechanics,29,,29,,0,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",72,824,68,830,4,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Control and valve installers and repairers,20,,20,,0,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
"Heating, air conditioning, and refrigeration mechanics and installers",469,1145,456,1150,13,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Home appliance repairers,31,,29,,2,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Industrial and refractory machinery mechanics,302,1256,295,1268,7,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
"Maintenance and repair workers, general",594,1159,571,1167,22,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
"Maintenance workers, machinery",75,1384,74,1385,1,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Millwrights,44,,40,,3,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Electrical powerline installers and repairers,145,1725,138,1743,7,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Telecommunications line installers and repairers,114,1410,101,1462,13,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Precision instrument and equipment repairers,46,,37,,9,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Wind turbine service technicians,7,,7,,0,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
"Coin, vending, and amusement machine servicers and repairers",25,,22,,3,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Commercial divers,0,,0,,0,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Locksmiths and safe repairers,25,,25,,0,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Manufactured building and mobile home installers,0,,0,,0,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Riggers,13,,13,,0,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
"Helpersinstallation, maintenance, and repair workers",5,,5,,0,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
"Other installation, maintenance, and repair workers",168,1073,158,1081,10,,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair"
Firstline supervisors of production and operating workers,735,1304,589,1408,146,986,"Production, transportation, and material moving occupations",Production occupations
"Aircraft structure, surfaces, rigging, and systems assemblers",3,,3,,0,,"Production, transportation, and material moving occupations",Production occupations
"Electrical, electronics, and electromechanical assemblers",93,820,51,916,42,,"Production, transportation, and material moving occupations",Production occupations
Engine and other machine assemblers,12,,10,,2,,"Production, transportation, and material moving occupations",Production occupations
Structural metal fabricators and fitters,23,,21,,2,,"Production, transportation, and material moving occupations",Production occupations
Other assemblers and fabricators,829,903,576,943,253,830,"Production, transportation, and material moving occupations",Production occupations
Bakers,143,758,66,828,76,705,"Production, transportation, and material moving occupations",Production occupations
"Butchers and other meat, poultry, and fish processing workers",188,772,144,808,44,,"Production, transportation, and material moving occupations",Production occupations
"Food and tobacco roasting, baking, and drying machine operators and tenders",7,,5,,2,,"Production, transportation, and material moving occupations",Production occupations
Food batchmakers,73,819,30,,44,,"Production, transportation, and material moving occupations",Production occupations
Food cooking machine operators and tenders,11,,11,,1,,"Production, transportation, and material moving occupations",Production occupations
"Food processing workers, all other",107,815,63,824,43,,"Production, transportation, and material moving occupations",Production occupations
Computer numerically controlled tool operators and programmers,64,987,62,999,2,,"Production, transportation, and material moving occupations",Production occupations
"Forming machine setters, operators, and tenders, metal and plastic",18,,13,,5,,"Production, transportation, and material moving occupations",Production occupations
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",46,,41,,6,,"Production, transportation, and material moving occupations",Production occupations
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",41,,36,,6,,"Production, transportation, and material moving occupations",Production occupations
"Other machine tool setters, operators, and tenders, metal and plastic",4,,4,,0,,"Production, transportation, and material moving occupations",Production occupations
Machinists,270,1093,253,1111,17,,"Production, transportation, and material moving occupations",Production occupations
"Metal furnace operators, tenders, pourers, and casters",20,,20,,0,,"Production, transportation, and material moving occupations",Production occupations
"Model makers and patternmakers, metal and plastic",0,,0,,0,,"Production, transportation, and material moving occupations",Production occupations
"Molders and molding machine setters, operators, and tenders, metal and plastic",32,,29,,3,,"Production, transportation, and material moving occupations",Production occupations
Tool and die makers,27,,25,,2,,"Production, transportation, and material moving occupations",Production occupations
"Welding, soldering, and brazing workers",520,1062,488,1073,32,,"Production, transportation, and material moving occupations",Production occupations
Other metal workers and plastic workers,297,978,252,1009,46,,"Production, transportation, and material moving occupations",Production occupations
Prepress technicians and workers,6,,4,,2,,"Production, transportation, and material moving occupations",Production occupations
Printing press operators,123,936,106,965,17,,"Production, transportation, and material moving occupations",Production occupations
Print binding and finishing workers,0,,0,,0,,"Production, transportation, and material moving occupations",Production occupations
Laundry and drycleaning workers,97,658,28,,69,622,"Production, transportation, and material moving occupations",Production occupations
"Pressers, textile, garment, and related materials",12,,7,,5,,"Production, transportation, and material moving occupations",Production occupations
Sewing machine operators,60,710,18,,43,,"Production, transportation, and material moving occupations",Production occupations
Shoe and leather workers,4,,3,,1,,"Production, transportation, and material moving occupations",Production occupations
"Tailors, dressmakers, and sewers",21,,15,,6,,"Production, transportation, and material moving occupations",Production occupations
"Textile machine setters, operators, and tenders",13,,6,,7,,"Production, transportation, and material moving occupations",Production occupations
Upholsterers,13,,11,,2,,"Production, transportation, and material moving occupations",Production occupations
"Other textile, apparel, and furnishings workers",8,,4,,4,,"Production, transportation, and material moving occupations",Production occupations
Cabinetmakers and bench carpenters,24,,24,,0,,"Production, transportation, and material moving occupations",Production occupations
Furniture finishers,13,,13,,0,,"Production, transportation, and material moving occupations",Production occupations
"Sawing machine setters, operators, and tenders, wood",15,,15,,0,,"Production, transportation, and material moving occupations",Production occupations
"Woodworking machine setters, operators, and tenders, except sawing",2,,2,,0,,"Production, transportation, and material moving occupations",Production occupations
Other woodworkers,18,,18,,0,,"Production, transportation, and material moving occupations",Production occupations
"Power plant operators, distributors, and dispatchers",41,,38,,3,,"Production, transportation, and material moving occupations",Production occupations
Stationary engineers and boiler operators,116,1390,110,1379,6,,"Production, transportation, and material moving occupations",Production occupations
Water and wastewater treatment plant and system operators,108,1209,100,1227,8,,"Production, transportation, and material moving occupations",Production occupations
Miscellaneous plant and system operators,46,,44,,2,,"Production, transportation, and material moving occupations",Production occupations
"Chemical processing machine setters, operators, and tenders",48,,42,,7,,"Production, transportation, and material moving occupations",Production occupations
"Crushing, grinding, polishing, mixing, and blending workers",63,1023,50,1083,13,,"Production, transportation, and material moving occupations",Production occupations
Cutting workers,25,,19,,5,,"Production, transportation, and material moving occupations",Production occupations
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",16,,11,,5,,"Production, transportation, and material moving occupations",Production occupations
"Furnace, kiln, oven, drier, and kettle operators and tenders",11,,10,,1,,"Production, transportation, and material moving occupations",Production occupations
"Inspectors, testers, sorters, samplers, and weighers",655,1042,427,1090,228,955,"Production, transportation, and material moving occupations",Production occupations
Jewelers and precious stone and metal workers,15,,9,,5,,"Production, transportation, and material moving occupations",Production occupations
Dental and ophthalmic laboratory technicians and medical appliance technicians,68,947,29,,39,,"Production, transportation, and material moving occupations",Production occupations
Packaging and filling machine operators and tenders,227,741,103,902,124,690,"Production, transportation, and material moving occupations",Production occupations
Painting workers,150,909,134,945,16,,"Production, transportation, and material moving occupations",Production occupations
Photographic process workers and processing machine operators,18,,14,,4,,"Production, transportation, and material moving occupations",Production occupations
Adhesive bonding machine operators and tenders,6,,4,,3,,"Production, transportation, and material moving occupations",Production occupations
Etchers and engravers,1,,0,,0,,"Production, transportation, and material moving occupations",Production occupations
"Molders, shapers, and casters, except metal and plastic",23,,18,,5,,"Production, transportation, and material moving occupations",Production occupations
"Paper goods machine setters, operators, and tenders",18,,15,,2,,"Production, transportation, and material moving occupations",Production occupations
Tire builders,14,,9,,5,,"Production, transportation, and material moving occupations",Production occupations
Helpersproduction workers,41,,25,,16,,"Production, transportation, and material moving occupations",Production occupations
Other production equipment operators and tenders,7,,6,,1,,"Production, transportation, and material moving occupations",Production occupations
Other production workers,1204,911,866,967,338,787,"Production, transportation, and material moving occupations",Production occupations
Supervisors of transportation and material moving workers,289,1138,200,1277,88,916,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Aircraft pilots and flight engineers,149,2124,142,2123,7,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Air traffic controllers and airfield operations specialists,40,,30,,10,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Flight attendants,65,1247,23,,42,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
"Ambulance drivers and attendants, except emergency medical technicians",9,,7,,2,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
"Bus drivers, school",129,925,70,958,59,871,"Production, transportation, and material moving occupations",Transportation and material moving occupations
"Bus drivers, transit and intercity",176,948,111,1048,66,856,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Driver/sales workers and truck drivers,2776,1055,2603,1076,173,795,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Shuttle drivers and chauffeurs,48,,37,,11,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Taxi drivers,314,825,279,859,34,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
"Motor vehicle operators, all other",75,833,59,896,16,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Locomotive engineers and operators,32,,31,,0,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Railroad conductors and yardmasters,51,1666,47,,4,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Other rail transportation workers,27,,22,,6,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Sailors and marine oilers,18,,16,,2,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Ship and boat captains and operators,34,,32,,3,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Ship engineers,4,,2,,2,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Parking attendants,47,,38,,9,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Transportation service attendants,67,793,57,783,10,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Transportation inspectors,48,,41,,7,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Passenger attendants,20,,8,,12,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Other transportation workers,41,,27,,14,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Crane and tower operators,52,1260,49,,3,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
"Conveyor, dredge, and hoist and winch operators",22,,20,,3,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Industrial truck and tractor operators,584,898,548,901,36,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Cleaners of vehicles and equipment,245,751,194,766,51,702,"Production, transportation, and material moving occupations",Transportation and material moving occupations
"Laborers and freight, stock, and material movers, hand",1646,819,1271,854,375,732,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Machine feeders and offbearers,16,,8,,9,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
"Packers and packagers, hand",440,719,186,707,255,724,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Stockers and order fillers,1124,743,750,760,374,716,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Pumping station operators,20,,20,,0,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Refuse and recyclable material collectors,116,943,110,950,6,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
Other material moving workers,64,1007,52,1081,11,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
,,,,,,,"Production, transportation, and material moving occupations",Transportation and material moving occupations
