Occupation,med_weeklypay_men,med_weeklypay_women,occupation_subcat
Court reporters and simultaneous captioners,,,"Arts, design, entertainment, sports, and media"
"Media and communication workers, all other",,,"Arts, design, entertainment, sports, and media"
"Broadcast, sound, and lighting technicians",1573,,"Arts, design, entertainment, sports, and media"
Photographers,,,"Arts, design, entertainment, sports, and media"
"Television, video, and film camera operators and editors",1775,,"Arts, design, entertainment, sports, and media"
"Media and communication equipment workers, all other",,,"Arts, design, entertainment, sports, and media"
Chiropractors,,,Healthcare practitioners and technical
Dentists,,,Healthcare practitioners and technical
Dietitians and nutritionists,,1397,Healthcare practitioners and technical
Optometrists,,,Healthcare practitioners and technical
Pharmacists,2520,2471,Healthcare practitioners and technical
Emergency medicine physicians,,,Healthcare practitioners and technical
Radiologists,,,Healthcare practitioners and technical
Other physicians,3133,2915,Healthcare practitioners and technical
Surgeons,,,Healthcare practitioners and technical
Physician assistants,,2303,Healthcare practitioners and technical
Podiatrists,,,Healthcare practitioners and technical
Audiologists,,,Healthcare practitioners and technical
Occupational therapists,,1595,Healthcare practitioners and technical
Physical therapists,1828,1710,Healthcare practitioners and technical
Radiation therapists,,,Healthcare practitioners and technical
Recreational therapists,,,Healthcare practitioners and technical
Respiratory therapists,,,Healthcare practitioners and technical
Speechlanguage pathologists,,1546,Healthcare practitioners and technical
Exercise physiologists,,,Healthcare practitioners and technical
"Therapists, all other",,1331,Healthcare practitioners and technical
Veterinarians,,,Healthcare practitioners and technical
Registered nurses,1900,1517,Healthcare practitioners and technical
Nurse anesthetists,,,Healthcare practitioners and technical
Nurse midwives,,,Healthcare practitioners and technical
Nurse practitioners,,2339,Healthcare practitioners and technical
Acupuncturists,,,Healthcare practitioners and technical
"Healthcare diagnosing or treating practitioners, all other",,,Healthcare practitioners and technical
Clinical laboratory technologists and technicians,1438,1183,Healthcare practitioners and technical
Dental hygienists,,1421,Healthcare practitioners and technical
Cardiovascular technologists and technicians,,,Healthcare practitioners and technical
Diagnostic medical sonographers,,1786,Healthcare practitioners and technical
Radiologic technologists and technicians,1478,1221,Healthcare practitioners and technical
Magnetic resonance imaging technologists,,1425,Healthcare practitioners and technical
Nuclear medicine technologists and medical dosimetrists,,,Healthcare practitioners and technical
Emergency medical technicians,1016,,Healthcare practitioners and technical
Paramedics,1627,,Healthcare practitioners and technical
Pharmacy technicians,1030,909,Healthcare practitioners and technical
Psychiatric technicians,,917,Healthcare practitioners and technical
Surgical technologists,,1198,Healthcare practitioners and technical
Veterinary technologists and technicians,,849,Healthcare practitioners and technical
Dietetic technicians and ophthalmic medical technicians,,,Healthcare practitioners and technical
Licensed practical and licensed vocational nurses,,1085,Healthcare practitioners and technical
Medical records specialists,,1006,Healthcare practitioners and technical
"Opticians, dispensing",,,Healthcare practitioners and technical
Miscellaneous health technologists and technicians,,1172,Healthcare practitioners and technical
Other healthcare practitioners and technical occupations,,1262,Healthcare practitioners and technical
